|======================Sat Nov 29 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
10:48:12:841 | PARSED-STRING: DspBoardTemp:31738
             | RAW-STRING   : #1131738

10:48:12:925 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

10:48:12:953 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

10:48:13:018 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

10:48:13:082 | PARSED-STRING: Mod0CellVoltage0:164
             | RAW-STRING   : #17164

10:48:13:162 | PARSED-STRING: Mod0CellVoltage1:3898
             | RAW-STRING   : #183898

10:48:13:210 | PARSED-STRING: Mod0CellVoltage2:3903
             | RAW-STRING   : #193903

10:48:13:258 | PARSED-STRING: Mod0PcbTemperature:3898
             | RAW-STRING   : #203898

10:48:13:338 | PARSED-STRING: Mod0CellVoltage4:3903
             | RAW-STRING   : #213903

10:48:13:401 | PARSED-STRING: Mod0CellVoltage5:8207
             | RAW-STRING   : #228207

10:48:13:450 | PARSED-STRING: Mod0CellVoltage6:3909
             | RAW-STRING   : #233909

10:48:13:546 | PARSED-STRING: Mod0CellVoltage7:8207
             | RAW-STRING   : #248207

10:48:13:577 | PARSED-STRING: Mod1PcbTemperature:3909
             | RAW-STRING   : #253909

10:48:13:642 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

10:48:13:706 | PARSED-STRING: Mod1CellVoltage0:168
             | RAW-STRING   : #27168

10:48:13:770 | PARSED-STRING: Mod1CellVoltage1:3900
             | RAW-STRING   : #283900

10:48:13:834 | PARSED-STRING: Mod1CellVoltage2:3896
             | RAW-STRING   : #293896

10:48:13:898 | PARSED-STRING: Mod1CellVoltage3:3900
             | RAW-STRING   : #303900

10:48:13:962 | PARSED-STRING: Mod1CellVoltage4:3896
             | RAW-STRING   : #313896

10:48:14:026 | PARSED-STRING: Mod1CellVoltage5:3907
             | RAW-STRING   : #323907

10:48:14:090 | PARSED-STRING: Mod1CellVoltage6:3917
             | RAW-STRING   : #333917

10:48:14:138 | PARSED-STRING: Mod1CellVoltage7:3907
             | RAW-STRING   : #343907

10:48:14:218 | PARSED-STRING: Mod2PcbTemperature:3917
             | RAW-STRING   : #353917

10:48:14:282 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

10:48:14:329 | PARSED-STRING: Mod2CellVoltage0:179
             | RAW-STRING   : #37179

10:48:14:394 | PARSED-STRING: Mod2CellVoltage1:3896
             | RAW-STRING   : #383896

10:48:14:458 | PARSED-STRING: Mod2CellVoltage2:3896
             | RAW-STRING   : #393896

10:48:14:522 | PARSED-STRING: Mod2CellVoltage3:3896
             | RAW-STRING   : #403896

10:48:14:586 | PARSED-STRING: Mod2CellVoltage4:3896
             | RAW-STRING   : #413896

10:48:14:650 | PARSED-STRING: Mod2CellVoltage5:3897
             | RAW-STRING   : #423897

10:48:14:714 | PARSED-STRING: Mod2CellVoltage6:3878
             | RAW-STRING   : #433878

10:48:14:762 | PARSED-STRING: Mod2CellVoltage7:3897
